X,created_at,full_text,likes_count,mentioning_users.0,mentioning_users.1,mentioning_users.2,mentioning_users.3,mentioning_users.4,mentioning_users.5,mentioning_users.6,mentioning_users.7,mentioning_users.8,mentioning_users.9,mentioning_users.10,mentioning_users.11,mentioning_users.12,mentioning_users.13,mentioning_users.14,mentioning_users.15,played_count,quotes_count,replies_count,replying_to.0,replying_to.1,replying_to.2,replying_to.3,replying_to.4,replying_to.5,replying_to.6,replying_to.7,replying_to.8,replying_to.9,replying_to.10,replying_to.11,replying_to.12,replying_to.13,replying_to.14,replying_to.15,replying_to.16,replying_to.17,replying_to.18,replying_to.19,replying_to.20,replying_to.21,replying_to.22,replying_to.23,replying_to.24,replying_to.25,replying_to.26,replying_to.27,replying_to.28,replying_to.29,replying_to.30,replying_to.31,replying_to.32,replying_to.33,replying_to.34,replying_to.35,replying_to.36,replying_to.37,replying_to.38,replying_to.39,replying_to.40,replying_to.41,replying_to.42,replying_to.43,replying_to.44,replying_to.45,replying_to.46,replying_to.47,retweeted_by,retweets_count,tweet_hashtags.0,tweet_hashtags.1,tweet_hashtags.2,tweet_hashtags.3,tweet_hashtags.4,tweet_hashtags.5,tweet_hashtags.6,tweet_hashtags.7,tweet_hashtags.8,tweet_hashtags.9,tweet_hashtags.10,tweet_hashtags.11,tweet_hashtags.12,tweet_hashtags.13,tweet_hashtags.14,tweet_hashtags.15,tweet_hashtags.16,tweet_hashtags.17,tweet_hashtags.18,tweet_hashtags.19,tweet_hashtags.20,tweet_hashtags.21,tweet_hashtags.22,tweet_hashtags.23,tweet_id,tweet_links.0,tweet_links.1,tweet_links.2,tweet_links.3,url,user_is_verified,user_name,language,engagement
1,Sun Aug 20 15:11:00 +00:00 2023,"Le dimanche c'est #D, comme #Destitution ???? -?"" #MacronDestitution  #NiOubliNiPardon Ni prÈservatifs ni #Gardasil ni wokisme ni LGBTisme ???""RENDEZ LE POGNON !",13,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,1,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,6,"#D,",#Destitution,#MacronDestitution,#NiOubliNiPardon,#Gardasil,,,,,,,,,,,,,,,,,,,,1693279617707340288,,,,,https://twitter.com/AHcCamille/status/1693279617707339931,false,31be7426,fr,21
6,Sun Aug 20 13:27:00 +00:00 2023,#Gardasil #HPV regardez les ÈlÈments du procËs contre Merx aux US,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,38d05682,b220aabb,2da9a5d0,ccbcc361,ce696b9a,fd8fdf98,e7a8f44d,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,0,#Gardasil,#HPV,,,,,,,,,,,,,,,,,,,,,,,1693253363859644928,,,,,https://twitter.com/AcGriffon/status/1693253363859644790,false,ed75e107,fr,0
7,Sat Aug 12 14:25:00 +00:00 2023,Danger pour les ados ‡ la rentrÈe 2023! Le gouvernement pousse ‡ la vaccination contre le #papillomavirus (#Gardasil) vaccin dangereux et inefficace qui favorise de nouveaux virus pgibertie.com/2023/07/13/danÖ via @GibertiePatrice,1,eee6aec2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,1,#papillomavirus,,,,,,,,,,,,,,,,,,,,,,,,1690368947223170816,https://pgibertie.com/2023/07/13/danger-pour-les-ados-a-la-rentree-2023-le-gouvernement-pousse-a-la-vaccination-contre-le-papillomavirus-gardasil-vaccin-dangereux-et-inefficace-qui-favorise-de-nouveaux-virus/,,,,https://twitter.com/Peck84200/status/1690368947223171072,false,43a73a49,fr,2
9,Tue May 16 20:46:00 +00:00 2023,Papillomavirus : les mensonges de la propagande ?? #Gardasil face ‡ la rÈalitÈ scientifique resistancerepublicaine.com/2Ö,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,3,#Gardasil,,,,,,,,,,,,,,,,,,,,,,,,1658574733087059968,https://resistancerepublicaine.com/2023/05/16/papillomavirus-les-mensonges-de-la-propagande-gardasil-face-a-la-realite-scientifique/,,,,https://twitter.com/Pilotte_daniel/status/1658574733087059970,true,906dbf29,fr,5
12,Tue Jun 13 21:45:00 +00:00 2023,"La prison ?""""Non ! Pour eux ce sera camps de travail, avec doses Covid #Gardasil  HPb .... et finition au rivotril une fois inutiles !",0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,74a415fe,6e6d4a50,acf26d34,acfe9c7d,380239dd,303a46bd,0bca388b,63801ebe,f640a68f,20dd9d86,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,0,#Gardasil,,,,,,,,,,,,,,,,,,,,,,,,1668736364869762816,,,,,https://twitter.com/JaneOfArc6/status/1668736364869763072,false,7086e2aa,fr,0
13,Thu Jun 29 10:48:00 +00:00 2023,"ChËre @MGEN_officiel ""Quand allez vous cesser de consentir ? Regardez ceci et ne me rÈpondez plus ce genre díinepties  francesoir.fr/societe-sante/Ö ""#VaccineGenocide #gardasil #papillomavirus #HPV",0,92b935b2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,0,#VaccineGenocide,#gardasil,#papillomavirus,#HPV,,,,,,,,,,,,,,,,,,,,,1674369311320752128,https://www.francesoir.fr/societe-sante/gardasil-l-etonnante-precipitation-d-emmanuel-macron-pour-vacciner-les-enfants,,,,https://twitter.com/imclaire51/status/1674369311320752128,false,16cac2ea,fr,0
14,Mon Aug 14 20:23:00 +00:00 2023,«a aussi c'est monstrueux ! #gardasil,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,9e95e1ef,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,0,#gardasil,,,,,,,,,,,,,,,,,,,,,,,,1691183705123872768,,,,,https://twitter.com/HelCach/status/1691183705123872768,false,c15ad095,fr,1
19,Sun Apr 30 13:12:00 +00:00 2023,"Covid-19  provoque des  Myocardites""11vaccins obligatoires pour les nourrissons Effets secondaires graves causÈs par les adjuvants#Gardasil provoque des dÈcËs et effets secondaires toujours injectÈs""Plainte pour crimes contre l'humanitÈ dÈposÈe ‡ la Cour PÈnale internationale",0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,0,#Gardasil,,,,,,,,,,,,,,,,,,,,,,,,1652662266666385408,,,,,https://twitter.com/72andree72/status/1652662266666385410,false,87d7af5f,fr,0
21,Wed Aug 30 23:02:00 +00:00 2023,Ils auront droit ‡ des doses de #Gardasil. On ne peut pas tout avoir #HumourNoir,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,1,ceedfecc,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,0,#Gardasil.,#HumourNoir,,,,,,,,,,,,,,,,,,,,,,,1697021936272822784,,,,,https://twitter.com/CerebroOnAir/status/1697021936272822716,false,af9119e0,fr,2
24,Mon Aug 14 09:56:00 +00:00 2023,"??la science et le bon business.??""??Et tant pis  pour les patients: splann.org/essure-rapport-faÖ gynger.fr/vaccination-les-clÖ#gardasil ""#mafia #corruption #merck",0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,0,#gardasil,#mafia,#corruption,#merck,,,,,,,,,,,,,,,,,,,,,1691026034668281856,https://splann.org/essure-rapport-fantome-ansm/,https://www.gynger.fr/vaccination-les-cles-de-la-defiance/,,,https://twitter.com/ziap1/status/1691026034668281856,false,68b45724,fr,0
